transaction_id,client_id,transaction_date,amount,transaction_type,location,device_type,is_fraud,location_type,currency
TRANS_13,CLIENTE_2323,2020-12-01 00:37:54,183.1,pago,"De (Limón, Siquirres) hacia (Reino Unido, Londres)",POS,0,Internacional,USD
TRANS_14,CLIENTE_943,2023-09-01 21:10:30,106.05,retiro,"De (Cartago, Paraíso) hacia (Limón, Pococí)",desconocido,0,Nacional,USD
TRANS_15,CLIENTE_2058,2019-06-11 19:45:46,552.11,pago,"De (Heredia, San Isidro) hacia (Alajuela, Los Chiles)",tableta,0,Nacional,USD
TRANS_16,CLIENTE_1531,2020-02-05 11:51:55,6.99,pago,"De (Alajuela, Upala) hacia (Guanacaste, Abangares)",tableta,0,Nacional,USD
TRANS_17,CLIENTE_2582,2021-02-28 20:12:52,374.51,retiro,"De (Puntarenas, Esparza) hacia (Limón, Guápiles)",web,0,Nacional,USD
TRANS_18,CLIENTE_652,2020-02-20 07:44:14,6700.61,depósito,"De (Puntarenas, Coto Brus) hacia (Alajuela, Palmares)",dispositivo_sospechoso,1,Nacional,USD
TRANS_19,CLIENTE_1953,2019-01-31 18:23:03,16202.2,depósito,"De (Limón, Talamanca) hacia (Limón, Guápiles)",dispositivo_sospechoso,0,Nacional,USD
TRANS_20,CLIENTE_52,2021-12-30 21:18:11,17834.51,depósito,"De (San José, Curridabat) hacia (Heredia, Santo Domingo)",cajero automático,0,Nacional,USD
TRANS_21,CLIENTE_2249,2022-04-09 01:11:08,5821.74,transferencia,"De (San José, Curridabat) hacia (Finlandia, Helsinki)",cajero automático,0,Internacional,USD
TRANS_22,CLIENTE_2586,2019-02-16 16:53:52,7832.49,depósito,"De (Limón, Talamanca) hacia (Alajuela, Los Chiles)",móvil,0,Nacional,USD
TRANS_23,CLIENTE_2362,2021-07-04 20:06:38,3885.08,retiro,"De (Heredia, Heredia) hacia (San José, Desamparados)",móvil,1,Nacional,USD
TRANS_24,CLIENTE_2199,2020-01-13 06:44:45,69.65,compra,"De (Alajuela, Atenas) hacia (Puntarenas, Golfito)",cajero automático,0,Nacional,USD
TRANS_25,CLIENTE_1300,2022-03-01 14:29:04,1099.84,transferencia,"De (Limón, Guápiles) hacia (Puntarenas, Coto Brus)",dispositivo_sospechoso,1,Nacional,USD
TRANS_26,CLIENTE_2642,2023-11-12 00:58:30,524.83,retiro,"De (Heredia, Santa Bárbara) hacia (Limón, Guápiles)",cajero automático,0,Nacional,USD
TRANS_27,CLIENTE_2349,2019-01-15 07:09:03,561.78,pago,"De (Cartago, Alvarado) hacia (Cartago, Alvarado)",tableta,0,Nacional,USD
TRANS_28,CLIENTE_2605,2021-06-26 22:59:20,11774.96,compra,"De (Guanacaste, Cañas) hacia (Guanacaste, Nicoya)",cajero automático,1,Nacional,USD
TRANS_29,CLIENTE_1971,2023-01-13 20:57:10,182.18,pago,"De (Limón, Guápiles) hacia (Alajuela, Guatuso)",POS,0,Nacional,USD
TRANS_30,CLIENTE_610,2020-11-22 17:41:28,6671.29,retiro,"De (Cartago, Paraíso) hacia (San José, Tarrazu)",tableta,1,Nacional,USD
TRANS_31,CLIENTE_260,2020-04-10 16:04:20,9434.54,depósito,"De (Limón, Matina) hacia (Portugal, Lisboa)",móvil,0,Internacional,USD
TRANS_32,CLIENTE_1655,2023-05-12 06:17:56,599.87,pago,"De (Limón, Limón) hacia (Guanacaste, Tilarán)",POS,0,Nacional,USD
TRANS_33,CLIENTE_400,2021-12-05 00:46:58,4473.44,transferencia,"De (Cartago, Oreamuno) hacia (Cartago, Oreamuno)",desconocido,0,Nacional,USD
TRANS_34,CLIENTE_1012,2022-05-03 18:02:48,2765.84,transferencia,"De (San José, Acosta) hacia (Alajuela, Alajuela)",móvil,0,Nacional,USD
TRANS_35,CLIENTE_2137,2023-03-16 21:17:01,2322.25,depósito,"De (Heredia, Santa Bárbara) hacia (Heredia, Santa Bárbara)",dispositivo_sospechoso,0,Nacional,USD
TRANS_36,CLIENTE_1041,2021-10-06 12:30:51,114.25,compra,"De (Alajuela, Alajuela) hacia (Alajuela, San Ramón)",web,0,Nacional,USD
TRANS_37,CLIENTE_1430,2020-10-14 08:22:22,404.29,pago,"De (Limón, Matina) hacia (San José, Alajuelita)",web,0,Nacional,USD
TRANS_38,CLIENTE_1374,2020-02-19 00:05:04,588.17,pago,"De (Limón, Guápiles) hacia (Guanacaste, Abangares)",web,0,Nacional,USD
TRANS_39,CLIENTE_2718,2022-03-28 21:26:17,161.99,retiro,"De (Guanacaste, Liberia) hacia (San José, Vázquez de Coronado)",POS,0,Nacional,USD
TRANS_40,CLIENTE_1976,2020-06-10 21:47:12,191.81,pago,"De (Guanacaste, Abangares) hacia (Heredia, Belén)",móvil,0,Nacional,USD
TRANS_41,CLIENTE_2712,2019-02-23 08:03:28,145.74,compra,"De (Guanacaste, Cañas) hacia (Limón, Siquirres)",desconocido,0,Nacional,USD
TRANS_42,CLIENTE_467,2019-03-05 13:25:01,511.65,retiro,"De (San José, Acosta) hacia (Limón, Guápiles)",móvil,0,Nacional,USD
TRANS_43,CLIENTE_1992,2021-01-23 00:14:29,196.57,compra,"De (San José, Curridabat) hacia (San José, La Unión)",cajero automático,0,Nacional,USD
TRANS_44,CLIENTE_2568,2020-01-23 17:36:48,4565.17,transferencia,"De (Guanacaste, Abangares) hacia (San José, Vázquez de Coronado)",tableta,0,Nacional,USD
TRANS_45,CLIENTE_2731,2022-01-12 04:45:16,6069.36,depósito,"De (Alajuela, Naranjo) hacia (Montenegro, Podgorica)",móvil,0,Internacional,USD
TRANS_46,CLIENTE_2894,2022-03-21 13:03:59,5428.82,transferencia,"De (Heredia, Barva) hacia (Nicaragua, Managua)",web,0,Internacional,USD
TRANS_47,CLIENTE_1102,2022-01-02 23:45:41,184.24,compra,"De (San José, Tarrazu) hacia (Puntarenas, Osa)",dispositivo_sospechoso,0,Nacional,USD
TRANS_48,CLIENTE_2781,2019-09-07 00:32:06,5702.93,depósito,"De (Cartago, Jiménez) hacia (Limón, Siquirres)",desconocido,1,Nacional,USD
TRANS_49,CLIENTE_1663,2023-10-25 14:01:01,10863.18,depósito,"De (Alajuela, Upala) hacia (Guanacaste, Abangares)",cajero automático,0,Nacional,USD
TRANS_50,CLIENTE_1520,2021-03-21 21:28:52,2990.94,transferencia,"De (Cartago, Paraíso) hacia (Cartago, Cartago)",desconocido,0,Nacional,USD
TRANS_51,CLIENTE_1619,2021-08-29 14:28:18,14376.38,transferencia,"De (Alajuela, Alajuela) hacia (Guanacaste, Bagaces)",web,1,Nacional,USD
TRANS_52,CLIENTE_1358,2022-05-25 06:23:10,514.73,retiro,"De (Puntarenas, Coto Brus) hacia (Puntarenas, Montes de Oro)",tableta,0,Nacional,USD
TRANS_53,CLIENTE_2256,2022-09-07 11:37:01,298.6,compra,"De (Cartago, La Unión) hacia (Alajuela, Zarcero)",desconocido,0,Nacional,USD
TRANS_54,CLIENTE_1180,2020-11-03 02:49:56,13311.25,compra,"De (Limón, Siquirres) hacia (Heredia, San Isidro)",móvil,1,Nacional,USD
TRANS_55,CLIENTE_2871,2019-04-03 22:54:13,14179.98,depósito,"De (Guanacaste, Nicoya) hacia (San José, Tarrazu)",POS,1,Nacional,USD
TRANS_56,CLIENTE_1441,2021-09-13 19:54:55,266.13,compra,"De (Heredia, Barva) hacia (Puntarenas, Parrita)",web,0,Nacional,USD
TRANS_57,CLIENTE_601,2023-02-12 02:35:16,13028.58,pago,"De (Limón, Matina) hacia (Guanacaste, Carrillo)",POS,1,Nacional,USD
TRANS_58,CLIENTE_2077,2021-09-15 04:45:36,1741.78,compra,"De (Cartago, Turrialba) hacia (Alajuela, Zarcero)",desconocido,1,Nacional,USD
TRANS_59,CLIENTE_1126,2020-05-21 09:49:15,499.22,retiro,"De (Guanacaste, Bagaces) hacia (Cartago, Cartago)",tableta,0,Nacional,USD
TRANS_60,CLIENTE_1088,2020-12-02 20:40:08,165.66,compra,"De (Alajuela, Zarcero) hacia (San José, Desamparados)",cajero automático,0,Nacional,USD
TRANS_61,CLIENTE_707,2023-11-03 21:17:55,5095.23,transferencia,"De (Cartago, Turrialba) hacia (Limón, Pococí)",dispositivo_sospechoso,0,Nacional,USD
TRANS_62,CLIENTE_2898,2023-10-22 07:33:24,51.01,retiro,"De (Alajuela, Guatuso) hacia (Dominica, Roseau)",dispositivo_sospechoso,0,Internacional,USD
TRANS_63,CLIENTE_117,2020-07-12 15:24:00,901.95,pago,"De (Alajuela, Atenas) hacia (Alajuela, Palmares)",web,0,Nacional,USD
TRANS_64,CLIENTE_2516,2023-11-27 02:03:32,169.95,compra,"De (Heredia, Belén) hacia (Heredia, San Isidro)",cajero automático,0,Nacional,USD
TRANS_65,CLIENTE_922,2020-12-01 11:12:20,770.95,retiro,"De (Alajuela, Atenas) hacia (San José, Acosta)",dispositivo_sospechoso,0,Nacional,USD
TRANS_66,CLIENTE_1525,2022-11-16 22:08:17,815.99,pago,"De (San José, Acosta) hacia (San José, Puriscal)",desconocido,0,Nacional,USD
TRANS_67,CLIENTE_1031,2019-06-30 03:38:57,2834.78,retiro,"De (Alajuela, Los Chiles) hacia (Heredia, Barva)",cajero automático,1,Nacional,USD
TRANS_68,CLIENTE_652,2021-09-19 20:53:43,86.96,retiro,"De (Guanacaste, Tilarán) hacia (San José, Escazú)",dispositivo_sospechoso,0,Nacional,USD
TRANS_69,CLIENTE_1198,2021-04-08 01:09:23,6777.56,depósito,"De (Limón, Siquirres) hacia (Islandia, Reikiavik)",dispositivo_sospechoso,0,Internacional,USD
TRANS_70,CLIENTE_1697,2023-04-05 10:02:35,1431.93,transferencia,"De (San José, Desamparados) hacia (San José, Puriscal)",dispositivo_sospechoso,0,Nacional,USD
TRANS_71,CLIENTE_1349,2022-09-19 23:27:32,532.77,retiro,"De (San José, Puriscal) hacia (Alajuela, San Ramón)",tableta,0,Nacional,USD
TRANS_72,CLIENTE_608,2020-09-02 03:13:56,209.03,compra,"De (Guanacaste, Abangares) hacia (Guanacaste, Liberia)",móvil,0,Nacional,USD
TRANS_73,CLIENTE_2069,2023-11-19 02:02:55,121.29,compra,"De (Alajuela, Palmares) hacia (Cartago, Turrialba)",desconocido,0,Nacional,USD
TRANS_74,CLIENTE_2203,2021-10-09 17:20:48,139.68,compra,"De (Cartago, Alvarado) hacia (San José, Acosta)",POS,0,Nacional,USD
TRANS_75,CLIENTE_2649,2023-08-25 07:58:22,1563.83,pago,"De (Guanacaste, Nicoya) hacia (San José, Desamparados)",tableta,1,Nacional,USD
TRANS_76,CLIENTE_2035,2019-07-02 23:07:01,11761.44,depósito,"De (Puntarenas, Osa) hacia (San José, Pérez Zeledón)",cajero automático,0,Nacional,USD
TRANS_77,CLIENTE_1631,2023-08-10 12:47:34,5812.03,pago,"De (Puntarenas, Montes de Oro) hacia (Puntarenas, Parrita)",dispositivo_sospechoso,1,Nacional,USD
TRANS_78,CLIENTE_2920,2020-03-07 17:35:14,12399.71,depósito,"De (San José, Vázquez de Coronado) hacia (San José, Escazú)",tableta,0,Nacional,USD
TRANS_79,CLIENTE_20,2020-06-22 14:07:59,331.76,retiro,"De (San José, Vázquez de Coronado) hacia (San José, Alajuelita)",dispositivo_sospechoso,0,Nacional,USD
TRANS_80,CLIENTE_2195,2022-10-27 20:02:00,11330.79,depósito,"De (San José, Tarrazu) hacia (Alajuela, Los Chiles)",POS,1,Nacional,USD
TRANS_81,CLIENTE_2718,2021-05-15 16:51:04,4422.69,pago,"De (Puntarenas, Buenos Aires) hacia (Guanacaste, Liberia)",web,1,Nacional,USD
TRANS_82,CLIENTE_1260,2020-10-18 07:03:57,842.33,pago,"De (Alajuela, Upala) hacia (San José, Pérez Zeledón)",móvil,0,Nacional,USD
TRANS_83,CLIENTE_1611,2022-02-16 04:54:31,7194.81,depósito,"De (San José, Pérez Zeledón) hacia (Guanacaste, Cañas)",móvil,0,Nacional,USD
TRANS_84,CLIENTE_1921,2020-05-20 02:38:22,6357.25,transferencia,"De (Limón, Guápiles) hacia (Limón, Limón)",cajero automático,0,Nacional,USD
TRANS_85,CLIENTE_1872,2020-11-04 08:57:14,10743.05,depósito,"De (San José, Desamparados) hacia (San José, Desamparados)",web,0,Nacional,USD
TRANS_86,CLIENTE_798,2020-07-05 16:37:49,386.45,transferencia,"De (San José, Dota) hacia (Cartago, Oreamuno)",cajero automático,0,Nacional,USD
TRANS_87,CLIENTE_1681,2019-05-19 15:16:30,33.47,compra,"De (Puntarenas, Aguirre) hacia (Cartago, Cartago)",web,0,Nacional,USD
TRANS_88,CLIENTE_2574,2023-04-24 20:03:24,3337.38,transferencia,"De (Cartago, La Unión) hacia (Cartago, El Guarco)",web,0,Nacional,USD
TRANS_89,CLIENTE_928,2019-03-05 19:11:41,13493.68,retiro,"De (Guanacaste, Cañas) hacia (Heredia, San Isidro)",tableta,1,Nacional,USD
TRANS_90,CLIENTE_1603,2020-07-02 05:00:50,491.79,retiro,"De (San José, Curridabat) hacia (Puntarenas, Parrita)",dispositivo_sospechoso,0,Nacional,USD
TRANS_91,CLIENTE_2851,2021-12-25 06:46:07,717.35,pago,"De (Puntarenas, Osa) hacia (Puntarenas, Corredores)",desconocido,0,Nacional,USD
TRANS_92,CLIENTE_2778,2020-12-30 16:07:30,13351.34,transferencia,"De (Puntarenas, Buenos Aires) hacia (Alajuela, Upala)",POS,1,Nacional,USD
TRANS_93,CLIENTE_2518,2020-04-21 03:40:28,8398.26,compra,"De (San José, Pérez Zeledón) hacia (Moldavia, Chisináu)",desconocido,1,Internacional,USD
TRANS_94,CLIENTE_1346,2021-07-06 00:57:59,353.14,pago,"De (Puntarenas, Puntarenas) hacia (San José, Pérez Zeledón)",POS,0,Nacional,USD
TRANS_95,CLIENTE_1410,2021-01-16 23:41:35,252.39,compra,"De (Puntarenas, Quepos) hacia (Eslovaquia, Bratislava)",móvil,0,Internacional,USD
TRANS_96,CLIENTE_2239,2021-09-01 21:30:32,8030.0,retiro,"De (Puntarenas, Corredores) hacia (Montenegro, Podgorica)",dispositivo_sospechoso,1,Internacional,USD
TRANS_97,CLIENTE_2261,2021-02-01 04:50:52,527.12,pago,"De (Puntarenas, Buenos Aires) hacia (San José, Montes de Oca)",móvil,0,Nacional,USD
TRANS_98,CLIENTE_1255,2022-05-10 01:42:51,331.44,retiro,"De (Alajuela, San Ramón) hacia (Cartago, La Unión)",desconocido,0,Nacional,USD
TRANS_99,CLIENTE_1834,2019-03-31 03:36:19,210.54,pago,"De (Cartago, Turrialba) hacia (Heredia, Santa Bárbara)",tableta,0,Nacional,USD
TRANS_100,CLIENTE_1580,2019-02-10 18:24:09,13333.06,transferencia,"De (Alajuela, Guatuso) hacia (Limón, Guápiles)",desconocido,1,Nacional,USD
TRANS_101,CLIENTE_453,2019-07-15 20:09:35,4775.41,transferencia,"De (Guanacaste, Tilarán) hacia (Guanacaste, Liberia)",cajero automático,0,Nacional,USD
TRANS_102,CLIENTE_1357,2023-03-24 00:33:18,52.78,retiro,"De (Alajuela, Alajuela) hacia (Alajuela, Palmares)",web,0,Nacional,USD
TRANS_103,CLIENTE_1493,2019-12-14 13:26:49,4571.69,depósito,"De (San José, Dota) hacia (Dinamarca, Copenhague)",móvil,0,Internacional,USD
TRANS_104,CLIENTE_443,2022-08-26 10:54:18,41.0,pago,"De (San José, Montes de Oca) hacia (San José, Escazú)",tableta,0,Nacional,USD
TRANS_105,CLIENTE_1318,2020-01-29 00:20:55,4115.2,depósito,"De (Limón, Limón) hacia (Moldavia, Chisináu)",tableta,0,Internacional,USD
TRANS_106,CLIENTE_487,2023-10-11 15:28:25,6556.94,compra,"De (Puntarenas, Parrita) hacia (Cartago, Alvarado)",dispositivo_sospechoso,1,Nacional,USD
TRANS_107,CLIENTE_2397,2020-10-24 10:20:30,9728.48,transferencia,"De (San José, Dota) hacia (San José, Escazú)",móvil,1,Nacional,USD
TRANS_108,CLIENTE_2752,2021-05-09 23:58:40,177.16,retiro,"De (San José, Montes de Oca) hacia (Guanacaste, Nicoya)",desconocido,0,Nacional,USD
TRANS_109,CLIENTE_315,2022-12-20 18:39:25,28.77,pago,"De (Cartago, Oreamuno) hacia (Alajuela, Atenas)",web,0,Nacional,USD
TRANS_110,CLIENTE_729,2019-11-29 13:41:53,5158.43,retiro,"De (Alajuela, Grecia) hacia (Costa Rica, San José)",móvil,1,Internacional,USD
TRANS_111,CLIENTE_1990,2021-10-11 19:06:36,336.88,retiro,"De (Limón, Talamanca) hacia (Puntarenas, Montes de Oro)",cajero automático,0,Nacional,USD
TRANS_112,CLIENTE_2741,2020-11-05 07:05:00,753.61,pago,"De (Puntarenas, Parrita) hacia (Alajuela, Upala)",web,0,Nacional,USD
TRANS_113,CLIENTE_1994,2022-01-09 14:59:47,12744.76,depósito,"De (Limón, Limón) hacia (Heredia, Barva)",web,0,Nacional,USD
TRANS_114,CLIENTE_2359,2021-09-22 07:45:05,7355.87,depósito,"De (Heredia, San Rafael) hacia (San José, Desamparados)",dispositivo_sospechoso,1,Nacional,USD
TRANS_115,CLIENTE_719,2020-05-11 18:14:20,681.55,pago,"De (Cartago, Cartago) hacia (Alajuela, Palmares)",dispositivo_sospechoso,0,Nacional,USD
TRANS_116,CLIENTE_620,2020-12-19 09:19:35,5525.66,transferencia,"De (Alajuela, Guatuso) hacia (Guanacaste, Cañas)",móvil,1,Nacional,USD
TRANS_117,CLIENTE_1663,2022-05-27 23:11:37,14614.59,depósito,"De (Cartago, La Unión) hacia (Eslovaquia, Bratislava)",desconocido,0,Internacional,USD
TRANS_118,CLIENTE_1224,2020-11-09 03:32:08,13760.68,depósito,"De (Guanacaste, Bagaces) hacia (Cartago, El Guarco)",cajero automático,0,Nacional,USD
TRANS_119,CLIENTE_1096,2021-03-27 14:14:04,221.37,pago,"De (Cartago, Paraíso) hacia (Puntarenas, Esparza)",cajero automático,0,Nacional,USD
TRANS_120,CLIENTE_1223,2023-09-01 07:02:05,551.15,retiro,"De (Heredia, Barva) hacia (Cartago, Paraíso)",dispositivo_sospechoso,0,Nacional,USD
TRANS_121,CLIENTE_2234,2021-12-04 06:43:50,232.87,compra,"De (Limón, Guápiles) hacia (Limón, Guápiles)",cajero automático,0,Nacional,USD
TRANS_122,CLIENTE_2988,2023-10-15 03:44:18,5417.99,transferencia,"De (San José, Puriscal) hacia (San José, Dota)",cajero automático,0,Nacional,USD
TRANS_123,CLIENTE_801,2021-07-09 01:52:56,2308.15,transferencia,"De (Cartago, Oreamuno) hacia (Panamá, Ciudad de Panamá)",móvil,0,Internacional,USD
TRANS_124,CLIENTE_857,2022-11-24 08:04:15,63.97,compra,"De (Puntarenas, Quepos) hacia (El Salvador, San Salvador)",cajero automático,0,Internacional,USD
TRANS_125,CLIENTE_739,2021-11-21 16:36:02,141.34,pago,"De (Cartago, Oreamuno) hacia (Heredia, Belén)",cajero automático,0,Nacional,USD
TRANS_126,CLIENTE_706,2019-04-05 15:45:02,462.33,retiro,"De (Heredia, San Isidro) hacia (Alajuela, Atenas)",tableta,0,Nacional,USD
TRANS_127,CLIENTE_876,2022-04-26 15:00:09,398.17,pago,"De (Cartago, Jiménez) hacia (Alajuela, Zarcero)",cajero automático,0,Nacional,USD
TRANS_128,CLIENTE_2470,2023-06-08 02:09:49,14951.09,compra,"De (Puntarenas, Corredores) hacia (San José, Escazú)",dispositivo_sospechoso,1,Nacional,USD
TRANS_129,CLIENTE_957,2023-04-26 06:57:48,6695.62,transferencia,"De (San José, Pérez Zeledón) hacia (Guanacaste, Carrillo)",dispositivo_sospechoso,0,Nacional,USD
TRANS_130,CLIENTE_1923,2019-11-21 03:29:06,251.34,compra,"De (Limón, Talamanca) hacia (San José, Tarrazu)",tableta,0,Nacional,USD
TRANS_131,CLIENTE_78,2021-10-21 20:09:42,162.22,pago,"De (San José, Montes de Oca) hacia (Eslovenia, Liubliana)",POS,0,Internacional,USD
TRANS_132,CLIENTE_2421,2023-10-08 13:40:50,4812.55,depósito,"De (Cartago, Paraíso) hacia (Guanacaste, Abangares)",dispositivo_sospechoso,0,Nacional,USD
TRANS_133,CLIENTE_725,2023-06-02 23:47:29,369.03,retiro,"De (Alajuela, Guatuso) hacia (Andorra, Andorra la Vieja)",móvil,0,Internacional,USD
TRANS_134,CLIENTE_1478,2023-04-08 17:50:40,596.83,pago,"De (San José, Escazú) hacia (San José, Dota)",web,0,Nacional,USD
TRANS_135,CLIENTE_2329,2022-05-12 23:35:48,112.59,compra,"De (Puntarenas, Parrita) hacia (Guanacaste, Liberia)",móvil,0,Nacional,USD
TRANS_136,CLIENTE_1473,2020-05-27 00:12:15,79.61,pago,"De (San José, Dota) hacia (Cartago, La Unión)",cajero automático,0,Nacional,USD
TRANS_137,CLIENTE_670,2023-12-07 13:21:36,177.19,compra,"De (San José, Vázquez de Coronado) hacia (San José, Curridabat)",desconocido,0,Nacional,USD
TRANS_138,CLIENTE_2857,2021-01-10 20:06:31,738.41,pago,"De (Alajuela, Alajuela) hacia (San José, Acosta)",dispositivo_sospechoso,0,Nacional,USD
TRANS_139,CLIENTE_2620,2021-11-20 00:32:36,2544.42,transferencia,"De (San José, Dota) hacia (Cartago, Turrialba)",POS,0,Nacional,USD
TRANS_140,CLIENTE_1585,2019-03-31 09:27:22,11369.3,transferencia,"De (Puntarenas, Quepos) hacia (Cartago, La Unión)",dispositivo_sospechoso,1,Nacional,USD
TRANS_141,CLIENTE_2825,2021-01-07 05:37:22,12223.67,compra,"De (San José, Curridabat) hacia (Cartago, Paraíso)",tableta,1,Nacional,USD
TRANS_142,CLIENTE_2256,2022-12-21 14:23:50,384.33,retiro,"De (Heredia, San Isidro) hacia (San José, Acosta)",tableta,0,Nacional,USD
TRANS_143,CLIENTE_305,2019-12-21 02:10:13,3907.38,compra,"De (San José, Curridabat) hacia (Austria, Viena)",desconocido,1,Internacional,USD
TRANS_144,CLIENTE_761,2019-05-21 05:02:37,3086.79,depósito,"De (Puntarenas, Parrita) hacia (San José, Desamparados)",tableta,0,Nacional,USD
TRANS_145,CLIENTE_874,2020-06-08 06:52:06,217.38,retiro,"De (Guanacaste, Nicoya) hacia (San José, Montes de Oca)",dispositivo_sospechoso,0,Nacional,USD
TRANS_146,CLIENTE_1662,2021-05-04 07:50:31,4915.23,transferencia,"De (Heredia, Barva) hacia (San José, Alajuelita)",dispositivo_sospechoso,0,Nacional,USD
TRANS_147,CLIENTE_1488,2020-05-25 00:54:32,24.32,compra,"De (Cartago, Turrialba) hacia (Cartago, Paraíso)",móvil,0,Nacional,USD
TRANS_148,CLIENTE_2110,2023-03-27 00:02:23,394.81,retiro,"De (Puntarenas, Esparza) hacia (San José, Pérez Zeledón)",desconocido,0,Nacional,USD
TRANS_149,CLIENTE_2940,2019-05-22 15:27:11,15489.19,depósito,"De (Guanacaste, Cañas) hacia (Nicaragua, Managua)",POS,0,Internacional,USD
TRANS_150,CLIENTE_908,2021-02-09 20:13:42,13872.69,depósito,"De (Alajuela, Alajuela) hacia (Heredia, Belén)",cajero automático,0,Nacional,USD
TRANS_151,CLIENTE_211,2022-08-07 05:56:46,731.97,retiro,"De (Guanacaste, Abangares) hacia (Croacia, Zagreb)",dispositivo_sospechoso,0,Internacional,USD
TRANS_152,CLIENTE_840,2021-05-20 13:31:28,427.56,pago,"De (Cartago, Turrialba) hacia (Heredia, Belén)",móvil,0,Nacional,USD
TRANS_153,CLIENTE_980,2023-03-09 16:28:09,10618.67,depósito,"De (Limón, Matina) hacia (Puntarenas, Aguirre)",desconocido,0,Nacional,USD
TRANS_154,CLIENTE_1604,2019-08-12 12:41:28,580.14,retiro,"De (Guanacaste, Nicoya) hacia (Guanacaste, Carrillo)",cajero automático,0,Nacional,USD
TRANS_155,CLIENTE_2799,2019-05-11 20:03:29,497.4,retiro,"De (Limón, Siquirres) hacia (Jamaica, Kingston)",dispositivo_sospechoso,0,Internacional,USD
TRANS_156,CLIENTE_2754,2019-10-26 10:27:43,5226.45,transferencia,"De (Limón, Talamanca) hacia (Alajuela, San Ramón)",web,1,Nacional,USD
TRANS_157,CLIENTE_733,2019-11-22 16:09:25,777.51,pago,"De (Guanacaste, Tilarán) hacia (San José, Vázquez de Coronado)",desconocido,0,Nacional,USD
TRANS_158,CLIENTE_2636,2020-09-25 00:20:47,298.29,compra,"De (Puntarenas, Coto Brus) hacia (San José, Montes de Oca)",cajero automático,0,Nacional,USD
TRANS_159,CLIENTE_2341,2021-01-18 11:51:30,80.3,retiro,"De (Puntarenas, Parrita) hacia (Heredia, Belén)",móvil,0,Nacional,USD
TRANS_160,CLIENTE_1562,2022-01-30 16:28:15,777.38,retiro,"De (San José, Pérez Zeledón) hacia (Alajuela, Atenas)",POS,0,Nacional,USD
TRANS_161,CLIENTE_2086,2019-01-24 21:37:02,76.59,compra,"De (Cartago, Oreamuno) hacia (Belice, Belmopán)",web,0,Internacional,USD
TRANS_162,CLIENTE_2030,2023-08-25 06:41:50,93.16,compra,"De (Puntarenas, Quepos) hacia (San José, Desamparados)",web,0,Nacional,USD
TRANS_163,CLIENTE_1435,2019-10-27 12:33:22,194.58,retiro,"De (Limón, Limón) hacia (Alajuela, Alajuela)",web,0,Nacional,USD
TRANS_164,CLIENTE_1842,2021-12-23 19:58:30,533.12,retiro,"De (Alajuela, Los Chiles) hacia (Dinamarca, Copenhague)",dispositivo_sospechoso,0,Internacional,USD
TRANS_165,CLIENTE_498,2021-12-15 11:53:16,665.48,retiro,"De (Puntarenas, Corredores) hacia (Alajuela, Atenas)",tableta,0,Nacional,USD
TRANS_166,CLIENTE_1373,2020-01-23 21:30:54,2141.03,depósito,"De (Alajuela, Upala) hacia (Cartago, Turrialba)",web,1,Nacional,USD
